Direction,Year,Date,Country,Product,Transport_mode,Measure,Value
Exports,2016,25/03/2016,All,All,All,$,135000000
Exports,2016,26/03/2016,All,All,All,$,188000000
Exports,2016,27/03/2016,All,All,All,$,149000000
Exports,2016,28/03/2016,All,All,All,$,157000000
Exports,2016,29/03/2016,All,All,All,$,101000000
Exports,2016,30/03/2016,All,All,All,$,82000000
Exports,2016,31/03/2016,All,All,All,$,249000000
Exports,2016,01/04/2016,All,All,All,$,156000000
Exports,2016,02/04/2016,All,All,All,$,75000000
Exports,2016,03/04/2016,All,All,All,$,125000000
Exports,2016,04/04/2016,All,All,All,$,130000000
Exports,2016,05/04/2016,All,All,All,$,91000000
Exports,2016,06/04/2016,All,All,All,$,48000000
Exports,2016,07/04/2016,All,All,All,$,158000000
Exports,2016,08/04/2016,All,All,All,$,118000000
Exports,2016,09/04/2016,All,All,All,$,240000000
Exports,2016,10/04/2016,All,All,All,$,209000000
Exports,2016,11/04/2016,All,All,All,$,151000000
Exports,2016,12/04/2016,All,All,All,$,92000000
Exports,2016,13/04/2016,All,All,All,$,98000000
Exports,2016,14/04/2016,All,All,All,$,182000000
Exports,2016,15/04/2016,All,All,All,$,219000000
Exports,2016,16/04/2016,All,All,All,$,108000000
Exports,2016,17/04/2016,All,All,All,$,169000000
Exports,2016,18/04/2016,All,All,All,$,113000000
Exports,2016,19/04/2016,All,All,All,$,177000000
Exports,2016,20/04/2016,All,All,All,$,85000000
Exports,2016,21/04/2016,All,All,All,$,139000000
Exports,2016,22/04/2016,All,All,All,$,145000000
Exports,2016,23/04/2016,All,All,All,$,214000000
Exports,2016,24/04/2016,All,All,All,$,168000000
Exports,2016,25/04/2016,All,All,All,$,179000000
Exports,2016,26/04/2016,All,All,All,$,126000000
Exports,2016,27/04/2016,All,All,All,$,92000000
Exports,2016,28/04/2016,All,All,All,$,192000000
Exports,2016,29/04/2016,All,All,All,$,189000000
Exports,2016,30/04/2016,All,All,All,$,139000000
Exports,2016,01/05/2016,All,All,All,$,169000000
Exports,2016,02/05/2016,All,All,All,$,84000000
Exports,2016,03/05/2016,All,All,All,$,159000000
Exports,2016,04/05/2016,All,All,All,$,88000000
Exports,2016,05/05/2016,All,All,All,$,182000000
Exports,2016,06/05/2016,All,All,All,$,177000000
Exports,2016,07/05/2016,All,All,All,$,191000000
Exports,2016,08/05/2016,All,All,All,$,201000000
Exports,2016,09/05/2016,All,All,All,$,148000000
Exports,2016,10/05/2016,All,All,All,$,126000000
Exports,2016,11/05/2016,All,All,All,$,114000000
Exports,2016,12/05/2016,All,All,All,$,157000000
Exports,2016,13/05/2016,All,All,All,$,160000000
Exports,2016,14/05/2016,All,All,All,$,102000000
Exports,2016,15/05/2016,All,All,All,$,157000000
Exports,2016,16/05/2016,All,All,All,$,109000000
Exports,2016,17/05/2016,All,All,All,$,148000000
Exports,2016,18/05/2016,All,All,All,$,112000000
Exports,2016,19/05/2016,All,All,All,$,143000000
Exports,2016,20/05/2016,All,All,All,$,180000000
Exports,2016,21/05/2016,All,All,All,$,108000000
Exports,2016,22/05/2016,All,All,All,$,279000000
Exports,2016,23/05/2016,All,All,All,$,134000000
Exports,2016,24/05/2016,All,All,All,$,107000000
Exports,2016,25/05/2016,All,All,All,$,135000000
Exports,2016,26/05/2016,All,All,All,$,166000000
Exports,2016,27/05/2016,All,All,All,$,142000000
Exports,2016,28/05/2016,All,All,All,$,119000000
Exports,2016,29/05/2016,All,All,All,$,169000000
Exports,2016,30/05/2016,All,All,All,$,118000000
Exports,2016,31/05/2016,All,All,All,$,173000000
Exports,2016,01/06/2016,All,All,All,$,99000000
Exports,2016,02/06/2016,All,All,All,$,209000000
Exports,2016,03/06/2016,All,All,All,$,179000000
Exports,2016,04/06/2016,All,All,All,$,180000000
Exports,2016,05/06/2016,All,All,All,$,221000000
Exports,2016,06/06/2016,All,All,All,$,120000000
Exports,2016,07/06/2016,All,All,All,$,107000000
